  A_VAL     B_VAL       F_VAL     TIME
3F800000  40000000    40000000    28 ns
3F800000  449F6000    449F6000    24 ns
3FA33333  42C80000    42FEFFFF    26 ns
38D1B717  3951B717    3205E1D5    30 ns
41160000  460CAF00    478EDD14    28 ns
41020831  42F61EB8    447A06F3    30 ns
43000000  43800000    47000000    28 ns
40300000  46210100    46AD6160    24 ns
47129320  47000600    4E8006DE    24 ns
41B80A3D  3B8B4396    3DC83C4B    30 ns
42C80000  43480000    46708000    28 ns
46EC8E00  4641BC00    4D797B8C    28 ns
49791900  3C4A42AF    45908439    30 ns
45800000  46000000    4C000000    26 ns
46733D52  44FC8666    4BEFF00F    30 ns
390164EF  3959945B    32DA8E26    30 ns
3F800000  40000000    40000000    26 ns
3F800000  449F6000    449F6000    24 ns
3FA33333  42C80000    42FEFFFF    26 ns
38D1B717  3951B717    3205E1D5    30 ns
